pyqt@5 5.15.11
python@3.10 3.10.19_1
python@3.11 3.11.15_4
python@3.14 3.14.6
qhull 2020.2
qt 6.11.0
qt3d 6.11.0
qt5compat 6.11.0
qt@5 5.15.19
qtbase 6.11.1
qtcanvaspainter 6.11.0
qtcharts 6.11.0
qtconnectivity 6.11.0
qtdatavis3d 6.11.0
qtdeclarative 6.11.1
qtgraphs 6.11.0
qtgrpc 6.11.0
qthttpserver 6.11.0
qtimageformats 6.11.0
qtlanguageserver 6.11.0
qtlocation 6.11.0
qtlottie 6.11.0
qtmultimedia 6.11.0
qtnetworkauth 6.11.0
qtpositioning 6.11.0
qtquick3d 6.11.0
qtquick3dphysics 6.11.0
qtquickeffectmaker 6.11.0
qtquicktimeline 6.11.0
qtremoteobjects 6.11.0
qtscxml 6.11.0
qtsensors 6.11.0
qtserialbus 6.11.0
qtserialport 6.11.0
qtshadertools 6.11.0
qtspeech 6.11.0
qtsvg 6.11.1
qttasktree 6.11.0
qttools 6.11.0
qttranslations 6.11.0
qtvirtualkeyboard 6.11.0
qtwebchannel 6.11.0
qtwebengine 6.11.0
qtwebsockets 6.11.0
qtwebview 6.11.0
qwt 6.3.0
qwt-qt5 6.3.0
range-v3 0.12.0
rapidjson 1.1.0
rav1e 0.8.1
re2 2025-11-05
readline 8.3.3
robin-map 1.4.0
ros2-jazzy 26.07.29.99
rubberband 4.0.0
ruby 4.0.3
s2n 1.7.6
scipy 1.18.0
sdformat14 14.9.0_4
sdl2-compat 2.32.70
sdl3 3.4.12
sfcgal 2.3.0
shared-mime-info 2.4_1
simde 0.8.2
sip 6.12.0
snappy 1.2.2
sparse 0.6.4
spdlog 1.17.0
speex 1.2.1
spirv-llvm-translator 22.1.2
spirv-tools 1.4.357.0 1.4.350.1
sqlite 3.53.4 3.53.3
srt 1.5.4
subversion 1.14.5_4
suite-sparse 7.12.3 7.12.2
svt-av1 4.2.0
tbb 2023.1.0
telnet 308
tesseract 5.5.3 5.5.2
theora 1.2.0
thrift 0.24.0
tinyxml 2.6.2
tinyxml2 11.0.0
tl-expected 1.3.1
unbound 1.25.0
uncrustify 0.82.0
unixodbc 2.3.14
urdfdom 6.0.0
urdfdom_headers 3.0.0
uriparser 1.0.2
utf8cpp 4.1.1
utf8proc 2.11.3
vcpkg 2025.06.20
vtk 9.6.2
webp 1.6.0
websocketpp 0.8.2
wget 1.25.0
x264 r3222
x265 4.2
xcb-util-keysyms 0.4.1
xerces-c 3.3.0
xorgproto 2025.1
xsimd 14.3.0
xtensor 0.27.1
xtl 0.8.1
xvid 1.3.7
xz 5.8.3
z3 4.16.0
zeromq 4.3.5_2
zimg 3.0.6
zlib 1.3.1
zstd 1.5.7_1
